time,event,patient_id,Nq,Ns,c,regime,policy_activated
45.90275138093696,departure,37,0,2,4,normal,0
47.34089263950205,departure,32,0,1,4,normal,0
50.09004810008843,arrival,38,0,0,4,normal,0
50.09004810008843,service_start,38,0,1,4,normal,0
50.31179938363896,arrival,39,0,1,4,normal,0
50.31179938363896,service_start,39,0,2,4,normal,0
50.39239538254877,arrival,40,0,2,4,normal,0
50.39239538254877,service_start,40,0,3,4,normal,0
50.86749466977883,arrival,41,0,3,4,normal,0
50.86749466977883,service_start,41,0,4,4,normal,0
50.9441776259683,departure,38,0,4,4,normal,0
51.82739083148331,departure,39,0,3,4,normal,0
52.1619971681519,arrival,42,0,2,4,normal,0
52.1619971681519,service_start,42,0,3,4,normal,0
52.80962932974488,arrival,43,0,3,4,normal,0
52.80962932974488,service_start,43,0,4,4,normal,0
53.1758317158256,departure,40,0,4,4,normal,0
53.37823502307853,departure,41,0,3,4,normal,0
53.95727740630405,departure,43,0,2,4,normal,0
60.09496419060635,arrival,44,0,1,4,overload,0
60.09496419060635,service_start,44,0,2,4,overload,0
60.16522704626759,arrival,45,0,2,4,overload,0
60.16522704626759,service_start,45,0,3,4,overload,0
60.25012534868554,arrival,46,0,3,4,overload,0
60.25012534868554,service_start,46,0,4,4,overload,0
61.13291835879636,arrival,47,0,4,4,overload,0
61.68100415850555,arrival,48,1,4,4,overload,0
61.834527038850766,departure,45,2,4,4,overload,0
61.834527038850766,service_start,47,1,4,4,overload,0
62.07381870661731,departure,42,1,4,4,overload,0
62.07381870661731,service_start,48,0,4,4,overload,0
62.10366930150004,arrival,49,0,4,4,overload,0
62.196255889178644,arrival,50,1,4,4,overload,0
62.838202117613406,departure,44,2,4,4,overload,0
62.838202117613406,service_start,49,1,4,4,overload,0
62.93329601732525,arrival,51,1,4,4,overload,0
63.59217793508464,arrival,52,2,4,4,overload,0
63.66136349020158,departure,46,3,4,4,overload,0
63.66136349020158,service_start,50,2,4,4,overload,0
65.02637961730142,departure,50,2,4,4,overload,0
65.02637961730142,service_start,51,1,4,4,overload,0
65.36558069349606,departure,51,1,4,4,overload,0
65.36558069349606,service_start,52,0,4,4,overload,0
65.56280015314766,departure,49,0,4,4,overload,0
66.16614823870826,arrival,53,0,3,4,overload,0
66.16614823870826,service_start,53,0,4,4,overload,0
66.54240565228046,arrival,54,0,4,4,overload,0
66.77169125712254,arrival,55,1,4,4,overload,0
67.56271906945412,arrival,56,2,4,4,overload,0
67.60710078088951,departure,47,3,4,4,overload,0
67.60710078088951,service_start,54,2,4,4,overload,0
67.99430586813197,departure,54,2,4,4,overload,0
67.99430586813197,service_start,55,1,4,4,overload,0
68.21817915621965,arrival,57,1,4,4,overload,0
68.40284007058737,arrival,58,2,4,4,overload,0
68.69709616488517,departure,55,3,4,4,overload,0
68.69709616488517,service_start,56,2,4,4,overload,0
69.55238329323682,arrival,59,2,4,4,overload,0
69.8065213406198,departure,53,3,4,4,overload,0
69.8065213406198,service_start,57,2,4,4,overload,0
69.99126360414544,arrival,60,2,4,4,overload,0
70.19647882799782,departure,48,3,4,4,overload,0
70.19647882799782,service_start,58,2,4,4,overload,0
71.53246717012738,departure,58,2,4,4,overload,0
71.53246717012738,service_start,59,1,4,4,overload,0
72.12770318643835,arrival,61,1,4,4,overload,0
72.68889270380551,arrival,62,2,4,4,overload,0
72.82833160706787,departure,59,3,4,4,overload,0
72.82833160706787,service_start,60,2,4,4,overload,0
73.22856637697237,arrival,63,2,4,4,overload,0
73.26814426245407,arrival,64,3,4,4,overload,0
74.06427539913192,arrival,65,4,4,4,overload,0
74.52379463265129,arrival,66,5,4,4,overload,0
74.86549552155229,arrival,67,6,4,4,overload,0
75.11915796114414,arrival,68,7,4,4,overload,0
76.64206495010538,arrival,69,8,4,4,overload,0
77.92641232114201,departure,57,9,4,4,overload,0
77.92641232114201,service_start,61,8,4,4,overload,0
78.33019906750161,departure,61,8,4,4,overload,0
78.33019906750161,service_start,62,7,4,4,overload,0
78.71444014246497,departure,56,7,4,4,overload,0
78.71444014246497,service_start,63,6,4,4,overload,0
79.99477256359127,arrival,70,6,4,4,overload,0
82.33421288724037,arrival,71,7,4,4,overload,0
82.56963092481095,arrival,72,8,4,4,overload,0
83.23072365132012,arrival,73,9,4,4,overload,0
83.35371169940598,departure,60,10,4,4,overload,0
83.35371169940598,service_start,64,9,4,4,overload,0
83.74701094103781,arrival,74,9,4,4,overload,0
84.30658802760874,departure,63,10,4,4,overload,0
84.30658802760874,service_start,65,9,4,4,overload,0
84.3961396346337,arrival,75,9,4,4,overload,0
84.90970700637611,arrival,76,10,4,4,overload,0
85.13137793693723,departure,62,11,4,4,overload,0
85.13137793693723,service_start,66,10,4,4,overload,0
85.45911463609465,arrival,77,10,4,4,overload,0
85.88967702229671,arrival,78,11,4,4,overload,0
86.06067890339025,arrival,79,12,4,4,overload,0
86.49341233863125,arrival,80,13,4,4,overload,0
86.57363611142726,arrival,81,14,4,4,overload,0
87.89524322669413,departure,52,15,4,4,overload,0
87.89524322669413,service_start,67,14,4,4,overload,0
88.10771535904432,departure,64,14,4,4,overload,0
88.10771535904432,service_start,68,13,4,4,overload,0
88.26582012542355,departure,67,13,4,4,overload,0
88.26582012542355,service_start,69,12,4,4,overload,0
88.6924890629268,arrival,82,12,4,4,overload,0
88.75712814814311,arrival,83,13,4,4,overload,0
89.12832533990179,departure,66,14,4,4,overload,0
89.12832533990179,service_start,70,13,4,4,overload,0
89.7041579174601,arrival,84,13,4,4,overload,0
90.3666327385209,arrival,85,14,4,4,overload,0
90.48729463732869,arrival,86,15,4,4,overload,0
90.84560778085667,departure,68,16,4,4,overload,0
90.84560778085667,service_start,71,15,4,4,overload,0
90.95627019876002,arrival,87,15,4,4,overload,0
91.7869212106354,arrival,88,16,4,4,overload,0
91.89422051498173,arrival,89,17,4,4,overload,0
92.17014363369545,arrival,90,18,4,4,overload,0
92.22055104536079,arrival,91,19,4,4,overload,0
92.48677982131736,arrival,92,20,4,4,overload,0
92.64565962685384,arrival,93,21,4,4,overload,0
92.65859417098177,arrival,94,22,4,4,overload,0
92.67306526313881,departure,69,23,4,4,overload,0
92.67306526313881,service_start,72,22,4,4,overload,0
93.63506243584459,arrival,95,22,4,4,overload,0
93.99188137531449,departure,70,23,4,4,overload,0
93.99188137531449,service_start,73,22,4,4,overload,0
95.16016777157417,arrival,96,22,4,4,overload,0
95.3633440053944,arrival,97,23,4,4,overload,0
95.97811360970792,arrival,98,24,4,4,overload,0
95.99881985435294,arrival,99,25,4,4,overload,0
96.10947693526464,arrival,100,26,4,4,overload,0
96.2782865076694,departure,72,27,4,4,overload,0
96.2782865076694,service_start,74,26,4,4,overload,0
96.37395315438837,arrival,101,26,4,4,overload,0
96.39881939159244,arrival,102,27,4,4,overload,0
96.53206353999926,departure,74,28,4,4,overload,0
96.53206353999926,service_start,75,27,4,4,overload,0
96.8047141752707,arrival,103,27,4,4,overload,0
96.99322325860057,departure,71,28,4,4,overload,0
96.99322325860057,service_start,76,27,4,4,overload,0
97.8270584004639,departure,73,27,4,4,overload,0
97.8270584004639,service_start,77,26,4,4,overload,0
98.5155310356297,departure,76,26,4,4,overload,0
98.5155310356297,service_start,78,25,4,4,overload,0
98.78644518090243,arrival,104,25,4,4,overload,0
99.29822704873357,arrival,105,26,4,4,overload,0
99.75768445520322,arrival,106,27,4,4,overload,0
100.41233397116646,arrival,107,28,4,4,overload,0
101.24585082444831,departure,65,29,4,4,overload,0
101.24585082444831,service_start,79,28,4,4,overload,0
101.29988049807028,arrival,108,28,4,4,overload,0
102.23375447316678,departure,75,29,4,4,overload,0
102.23375447316678,service_start,80,28,4,4,overload,0
102.62887438145886,departure,80,28,4,4,overload,0
102.62887438145886,service_start,81,27,4,4,overload,0
103.32200858442039,arrival,109,27,4,4,overload,0
103.35530551499822,arrival,110,28,4,4,overload,0
103.59903565813468,arrival,111,29,4,4,overload,0
103.85137624841514,departure,81,30,4,4,overload,0
103.85137624841514,service_start,82,29,4,4,overload,0
104.16813755811812,departure,79,29,4,4,overload,0
104.16813755811812,service_start,83,28,4,4,overload,0
104.26120231458172,departure,77,28,4,4,overload,0
104.26120231458172,service_start,84,27,4,4,overload,0
104.37377069422091,departure,82,27,4,4,overload,0
104.37377069422091,service_start,85,26,4,4,overload,0
104.5290302515823,arrival,112,26,4,4,overload,0
105.16335029707315,arrival,113,27,4,4,overload,0
105.51944217549362,arrival,114,28,4,4,overload,0
105.94184531905823,arrival,115,29,4,4,overload,0
106.45715953686839,departure,84,30,4,4,overload,0
106.45715953686839,service_start,86,29,4,4,overload,0
106.62136777056212,arrival,116,29,4,4,overload,0
106.74127748952982,arrival,117,30,4,4,overload,0
106.84368505351082,arrival,118,31,4,4,overload,0
106.91318709961729,departure,86,32,4,4,overload,0
106.91318709961729,service_start,87,31,4,4,overload,0
107.39712304832264,departure,87,31,4,4,overload,0
107.39712304832264,service_start,88,30,4,4,overload,0
107.55726537478739,arrival,119,30,4,4,overload,0
107.63177602889456,departure,78,31,4,4,overload,0
107.63177602889456,service_start,89,30,4,4,overload,0
107.638330991326,arrival,120,30,4,4,overload,0
108.77955198938481,arrival,121,31,4,4,overload,0
110.43165802073744,arrival,122,32,4,4,overload,0
110.64281547863885,departure,88,33,4,4,overload,0
110.64281547863885,service_start,90,32,4,4,overload,0
111.16508300752469,arrival,123,32,4,4,overload,0
111.96674432713155,arrival,124,33,4,4,overload,0
112.11067216644719,departure,90,34,4,4,overload,0
112.11067216644719,service_start,91,33,4,4,overload,0
112.3548189127343,departure,91,33,4,4,overload,0
112.3548189127343,service_start,92,32,4,4,overload,0
112.5179482262171,arrival,125,32,4,4,overload,0
112.62018565658056,departure,85,33,4,4,overload,0
112.62018565658056,service_start,93,32,4,4,overload,0
112.72871992393439,arrival,126,32,4,4,overload,0
113.00490538091715,departure,93,33,4,4,overload,0
113.00490538091715,service_start,94,32,4,4,overload,0
113.30070908841006,departure,89,32,4,4,overload,0
113.30070908841006,service_start,95,31,4,4,overload,0
113.44169939058978,arrival,127,31,4,4,overload,0
114.05078254712404,departure,92,32,4,4,overload,0
114.05078254712404,service_start,96,31,4,4,overload,0
